cohort,method,seed,class_index,iou
original_n3,FFFF,11,0,48.79512396141353
original_n3,FFFF,11,1,57.07418833961366
original_n3,FFFF,11,2,47.58312731503462
original_n3,FFFF,11,3,67.92581265298021
original_n3,FFFF,11,4,17.07320770906539
original_n3,FFFF,11,5,33.98049473094525
original_n3,FFFF,11,6,50.77047036151255
original_n3,GSHPS_AUTO,11,0,37.38708262155279
original_n3,GSHPS_AUTO,11,1,58.656279635187346
original_n3,GSHPS_AUTO,11,2,50.20333898292391
original_n3,GSHPS_AUTO,11,3,65.75545871256374
original_n3,GSHPS_AUTO,11,4,7.949599788855534
original_n3,GSHPS_AUTO,11,5,34.78693921933908
original_n3,GSHPS_AUTO,11,6,52.87035668587499
original_n3,RAND_PATH,11,0,41.83322103390505
original_n3,RAND_PATH,11,1,59.109875561663195
original_n3,RAND_PATH,11,2,50.915569509881195
original_n3,RAND_PATH,11,3,66.78793149445937
original_n3,RAND_PATH,11,4,11.478310298531403
original_n3,RAND_PATH,11,5,34.07242482483507
original_n3,RAND_PATH,11,6,54.38855985303947
original_n3,FFFF,23,0,46.336849275763875
original_n3,FFFF,23,1,60.17438352129154
original_n3,FFFF,23,2,49.78473677917311
original_n3,FFFF,23,3,64.1414460122044
original_n3,FFFF,23,4,13.535688252397952
original_n3,FFFF,23,5,33.91449572606596
original_n3,FFFF,23,6,55.218315657662146
original_n3,GSHPS_AUTO,23,0,40.453588913836704
original_n3,GSHPS_AUTO,23,1,57.886235442696275
original_n3,GSHPS_AUTO,23,2,50.93425666718857
original_n3,GSHPS_AUTO,23,3,64.67566278858571
original_n3,GSHPS_AUTO,23,4,7.733916698549055
original_n3,GSHPS_AUTO,23,5,32.674354110767915
original_n3,GSHPS_AUTO,23,6,53.294587399777406
original_n3,RAND_PATH,23,0,43.261199778775236
original_n3,RAND_PATH,23,1,59.33616713303168
original_n3,RAND_PATH,23,2,50.07447827435255
original_n3,RAND_PATH,23,3,64.85866446567057
original_n3,RAND_PATH,23,4,8.166291181818657
original_n3,RAND_PATH,23,5,32.864640830158045
original_n3,RAND_PATH,23,6,52.84652904717143
original_n3,FFFF,41,0,47.784007295616
original_n3,FFFF,41,1,56.82942854301521
original_n3,FFFF,41,2,48.49753065789366
original_n3,FFFF,41,3,62.444642025075005
original_n3,FFFF,41,4,13.690796305730565
original_n3,FFFF,41,5,33.69524571385737
original_n3,FFFF,41,6,56.64585148564944
original_n3,GSHPS_AUTO,41,0,50.86750907788423
original_n3,GSHPS_AUTO,41,1,57.993828862012585
original_n3,GSHPS_AUTO,41,2,47.329799154089784
original_n3,GSHPS_AUTO,41,3,65.48277018343414
original_n3,GSHPS_AUTO,41,4,21.458402777068933
original_n3,GSHPS_AUTO,41,5,35.14880844042829
original_n3,GSHPS_AUTO,41,6,56.093016247511926
original_n3,RAND_PATH,41,0,43.75867780902145
original_n3,RAND_PATH,41,1,58.839814054464455
original_n3,RAND_PATH,41,2,47.893313253094185
original_n3,RAND_PATH,41,3,62.12630013787484
original_n3,RAND_PATH,41,4,10.929339274771168
original_n3,RAND_PATH,41,5,34.99675879131065
original_n3,RAND_PATH,41,6,55.084441054120056
confirmatory_n2,FFFF,53,0,51.98258764128568
confirmatory_n2,FFFF,53,1,58.790592594244806
confirmatory_n2,FFFF,53,2,48.4172536685895
confirmatory_n2,FFFF,53,3,67.10073090381209
confirmatory_n2,FFFF,53,4,20.767925480658523
confirmatory_n2,FFFF,53,5,31.86824238213009
confirmatory_n2,FFFF,53,6,57.14848256599798
confirmatory_n2,GSHPS_AUTO,53,0,45.41219669868578
confirmatory_n2,GSHPS_AUTO,53,1,57.04919102025485
confirmatory_n2,GSHPS_AUTO,53,2,48.03152539508163
confirmatory_n2,GSHPS_AUTO,53,3,65.56853505730632
confirmatory_n2,GSHPS_AUTO,53,4,9.380268997379055
confirmatory_n2,GSHPS_AUTO,53,5,33.048933065070436
confirmatory_n2,GSHPS_AUTO,53,6,57.49368842960182
confirmatory_n2,RAND_PATH,53,0,51.131391071365414
confirmatory_n2,RAND_PATH,53,1,58.42454615268993
confirmatory_n2,RAND_PATH,53,2,48.350026675879825
confirmatory_n2,RAND_PATH,53,3,67.68008471500472
confirmatory_n2,RAND_PATH,53,4,16.187498782071398
confirmatory_n2,RAND_PATH,53,5,32.547447091977396
confirmatory_n2,RAND_PATH,53,6,57.258765035522444
confirmatory_n2,FFFF,67,0,45.44182948426767
confirmatory_n2,FFFF,67,1,54.91304932297627
confirmatory_n2,FFFF,67,2,49.250475699744364
confirmatory_n2,FFFF,67,3,64.31523480496364
