batch_size,e2e_p50_seconds,e2e_p95_seconds,gpu_p50_seconds,gpu_p95_seconds,measured_steps,method,peak_allocated_mb,peak_reserved_mb,precision,repeat,resource_scope,samples_per_second_e2e,samples_per_second_gpu,scheduler_context,task,warmup_steps
64,0.18556289999105502,0.22797026598709635,0.1855078430175781,0.2278654022216797,500,FFFF,8198.46435546875,8502.0,bf16,0,task-shaped fixed synthetic tensors; training kernel only,344.8965283636174,344.99889039158074,serial_exclusive_gpu,imagenet100,100
64,0.18500923848478124,0.194842774013523,0.1849646072387695,0.19479962158203126,500,FFFF,8196.86669921875,8642.0,bf16,1,task-shaped fixed synthetic tensors; training kernel only,345.9286710445252,346.01214229802815,serial_exclusive_gpu,imagenet100,100
64,0.18521494799642824,0.19140028301626444,0.18516941070556642,0.19135795593261717,500,FFFF,8196.84716796875,8526.0,bf16,2,task-shaped fixed synthetic tensors; training kernel only,345.54446437678564,345.6294414727329,serial_exclusive_gpu,imagenet100,100
64,0.24506568048673216,0.2719804839871358,0.2450001907348633,0.271935302734375,500,FFFF-AC,2420.46142578125,2974.0,bf16,0,task-shaped fixed synthetic tensors; training kernel only,261.1544785581062,261.2242864302916,serial_exclusive_gpu,imagenet100,100
64,0.2446582905104151,0.25780443401890807,0.24460851287841795,0.2577510375976563,500,FFFF-AC,2418.52392578125,2698.0,bf16,1,task-shaped fixed synthetic tensors; training kernel only,261.58933697476937,261.64257019056015,serial_exclusive_gpu,imagenet100,100
64,0.24399373400956392,0.25271100498503074,0.2439341735839844,0.2526648254394531,500,FFFF-AC,2417.11767578125,2714.0,bf16,2,task-shaped fixed synthetic tensors; training kernel only,262.30181795361744,262.3658631330118,serial_exclusive_gpu,imagenet100,100
64,0.15643848999752663,0.18306951300473884,0.15638835144042967,0.18296823120117187,500,DDDD,5941.24169921875,6230.0,bf16,0,task-shaped fixed synthetic tensors; training kernel only,409.10648013165985,409.2376408506258,serial_exclusive_gpu,imagenet100,100
64,0.15646301851666067,0.16235820000292733,0.15641892242431643,0.16231321716308594,500,DDDD,5937.52294921875,6248.0,bf16,1,task-shaped fixed synthetic tensors; training kernel only,409.0423450010654,409.15765821725637,serial_exclusive_gpu,imagenet100,100
64,0.1562582049955381,0.19012483800179325,0.1562077178955078,0.1900247039794922,500,DDDD,5937.35498046875,6240.0,bf16,2,task-shaped fixed synthetic tensors; training kernel only,409.5784922259122,409.7108700020289,serial_exclusive_gpu,imagenet100,100
64,0.16412189950642642,0.17195345400250517,0.16407908630371093,0.17191116333007814,500,SSSS,8128.40185546875,8578.0,bf16,0,task-shaped fixed synthetic tensors; training kernel only,389.9540536178963,390.05580444015754,serial_exclusive_gpu,imagenet100,100
64,0.1642080555029679,0.17241203598678112,0.16416050720214845,0.1723678741455078,500,SSSS,8133.47998046875,8532.0,bf16,1,task-shaped fixed synthetic tensors; training kernel only,389.7494541541737,389.86234320773593,serial_exclusive_gpu,imagenet100,100
